date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202120,male,not_vaccinated,61,1762,2968948,2.05,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,male,unknown,3545,83186,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,fully_vaccinated,0,0,277,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,partially_vaccinated,0,0,332,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202120,unknown,unknown,2,54,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,female,fully_vaccinated,21,280,1022878,2.05,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,female,partially_vaccinated,11,237,628087,1.75,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,female,not_vaccinated,34,1494,2705737,1.26,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,female,unknown,2511,86747,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,male,fully_vaccinated,13,191,851762,1.53,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,male,partially_vaccinated,4,213,620297,0.64,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,male,not_vaccinated,44,1806,2816019,1.56,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,male,unknown,2478,85664,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,fully_vaccinated,1,1,342,292.4,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,partially_vaccinated,0,0,362,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202121,unknown,unknown,2,56,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202122,female,fully_vaccinated,9,289,1187293,0.76,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
