date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-06,moderna,fully_vaccinated,0,44,1133667,0,NA,0.29,0.03,0,15.83,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-07,moderna,fully_vaccinated,0,44,1168713,0,NA,0.29,0.02,0,15.77,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-08,moderna,fully_vaccinated,0,44,1209418,0,NA,0.29,0.02,0,15.6,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-09,moderna,fully_vaccinated,1,45,1248483,0.08,NA,0.29,0.02,25,15.73,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-10,moderna,fully_vaccinated,0,45,1280401,0,NA,0.29,0.02,0,15.68,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-11,moderna,fully_vaccinated,1,46,1316513,0.08,NA,0.43,0.03,100,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-12,moderna,fully_vaccinated,0,46,1337282,0,NA,0.57,0.04,NA,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-13,moderna,fully_vaccinated,0,46,1347441,0,NA,0.43,0.03,0,15.86,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-14,moderna,fully_vaccinated,1,47,1381619,0.07,NA,0.43,0.03,50,16.1,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-15,moderna,fully_vaccinated,1,48,1423038,0.07,NA,0.29,0.02,50,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-16,moderna,fully_vaccinated,0,48,1468002,0,NA,0.29,0.02,NA,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-17,moderna,fully_vaccinated,0,48,1515509,0,NA,0.29,0.02,NA,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-18,moderna,fully_vaccinated,0,48,1561401,0,NA,0.14,0.01,NA,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-19,moderna,fully_vaccinated,0,48,1583437,0,NA,0,0,NA,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-20,moderna,fully_vaccinated,0,48,1592311,0,NA,0,0,NA,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-21,moderna,fully_vaccinated,0,48,1628914,0,NA,0,0,0,16.27,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-22,moderna,fully_vaccinated,0,48,1673600,0,NA,0.14,0.01,0,16.22,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-23,moderna,fully_vaccinated,0,48,1719545,0,NA,0.14,0.01,NA,16.22,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-24,moderna,fully_vaccinated,0,48,1767069,0,NA,0.14,0.01,NA,16.22,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-25,moderna,fully_vaccinated,1,49,1811482,0.06,NA,0.14,0.01,50,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-26,moderna,fully_vaccinated,0,49,1834450,0,NA,0.14,0.01,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-27,moderna,fully_vaccinated,0,49,1844309,0,NA,0.14,0.01,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-06-28,moderna,fully_vaccinated,0,49,1887239,0,NA,0.14,0.01,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-10-11_08-00-56
2021-06-29,moderna,fully_vaccinated,0,49,1935027,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-10-11_08-00-56
