date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,50 - 59,fully_vaccinated,0,0,16151,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,50 - 59,partially_vaccinated,0,0,32165,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,50 - 59,not_vaccinated,15,50,1250593,1.2,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,50 - 59,unknown,22,125,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,60 - 69,fully_vaccinated,0,0,15265,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,60 - 69,partially_vaccinated,0,1,34622,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,60 - 69,not_vaccinated,21,65,902883,2.33,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,60 - 69,unknown,33,178,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,70 - 79,fully_vaccinated,1,2,48985,2.04,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,70 - 79,partially_vaccinated,5,8,92267,5.42,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,70 - 79,not_vaccinated,26,88,583651,4.45,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,70 - 79,unknown,62,255,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,80+,fully_vaccinated,3,5,70314,4.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,80+,partially_vaccinated,5,12,120614,4.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,80+,not_vaccinated,42,141,264270,15.89,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,80+,unknown,92,406,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
